algorithm,scenario,metric,n,mean,std,ci95_low,ci95_high,unit
proprio,cpu_bound,context_switches,1000,1998.4010000000001,26.166981291503802,1996.7791536967056,2000.0228463032945,trocas
proprio,cpu_bound,jain_slowdown_pct,1000,84.230725130306254,0.86869737972749728,84.176882708886012,84.284567551726497,%
sjf,cpu_bound,mean_turnaround,1000,48486.007707000004,1112.1564322155411,48417.075537171935,48554.939876828073,ticks
sjf,cpu_bound,context_switches,1000,1998.4010000000001,26.166981291503802,1996.7791536967056,2000.0228463032945,trocas
sjf,cpu_bound,jain_slowdown_pct,1000,85.871657796310842,0.94089847280299388,85.81334030477862,85.929975287843064,%
fcfs,prioridades_desbalanceadas,mean_turnaround,1000,26094.378497999998,871.44711320474562,26040.365646333128,26148.391349666868,ticks
fcfs,prioridades_desbalanceadas,context_switches,1000,3504.0129999999999,69.115814592803773,3499.7291574295573,3508.2968425704425,trocas
fcfs,prioridades_desbalanceadas,jain_slowdown_pct,1000,70.888492151238481,1.9909661694287957,70.765090789579659,71.011893512897302,%
rr,prioridades_desbalanceadas,mean_turnaround,1000,33808.461392999998,1020.490057884947,33745.210763915515,33871.712022084481,ticks
rr,prioridades_desbalanceadas,context_switches,1000,12265.98,252.37910137491735,12250.337381234243,12281.622618765756,trocas
rr,prioridades_desbalanceadas,jain_slowdown_pct,1000,81.191673022500439,0.60823968235678427,81.153973936413365,81.229372108587512,%
prioridade,prioridades_desbalanceadas,mean_turnaround,1000,23557.906349000001,640.79453269123496,23518.189492384445,23597.623205615557,ticks
prioridade,prioridades_desbalanceadas,context_switches,1000,3504.0129999999999,69.115814592803773,3499.7291574295573,3508.2968425704425,trocas
prioridade,prioridades_desbalanceadas,jain_slowdown_pct,1000,30.622791515916241,1.4422654372782302,30.533398977978418,30.712184053854063,%
proprio,prioridades_desbalanceadas,mean_turnaround,1000,26095.248857000002,871.54734026061021,26041.229793195849,26149.267920804155,ticks
proprio,prioridades_desbalanceadas,context_switches,1000,3504.0129999999999,69.115814592803773,3499.7291574295573,3508.2968425704425,trocas
proprio,prioridades_desbalanceadas,jain_slowdown_pct,1000,70.935517193894754,1.9939515507232264,70.811930796386278,71.059103591403229,%
sjf,prioridades_desbalanceadas,mean_turnaround,1000,24828.208409999999,754.65552625989335,24781.434375888439,24874.98244411156,ticks
sjf,prioridades_desbalanceadas,context_switches,1000,3503.1909999999998,69.087434404474692,3498.9089164518537,3507.473083548146,trocas
sjf,prioridades_desbalanceadas,jain_slowdown_pct,1000,59.502671545964141,1.9278563668326563,59.383181770395517,59.622161321532765,%
